,BTCPrice,bought,sold
1,6422.32,0.0,0.0
2,6436.3,6436.3,0.0
3,6414.7,6414.7,0.0
4,6422.66,6422.66,0.0
5,6435.0,6435.0,0.0
6,6432.12,6432.12,0.0
7,6437.45,6437.45,0.0
8,6454.52,6454.52,0.0
9,6456.13,6456.13,0.0
10,7275.0,7275.0,0.0
11,7286.72,7286.72,0.0
12,7308.0,0.0,0.0
13,7299.99,0.0,0.0
14,7278.8,0.0,0.0
15,7285.0,0.0,0.0
16,7278.32,0.0,0.0
17,7295.0,7295.0,0.0
18,7283.23,7283.23,0.0
19,7262.51,0.0,0.0
20,7272.06,0.0,7272.06
21,7257.02,7257.02,0.0
22,7205.0,0.0,0.0
23,7220.36,0.0,0.0
24,7249.0,7249.0,0.0
25,7250.0,0.0,0.0
26,7238.0,7238.0,0.0
27,7216.68,0.0,0.0
28,7234.02,7234.02,0.0
29,7220.96,7220.96,0.0
30,7250.04,7250.04,0.0
31,7279.34,7279.34,0.0
32,7279.42,0.0,0.0
33,7281.89,0.0,0.0
34,7255.35,0.0,0.0
35,7275.02,7275.02,0.0
36,7274.99,7274.99,0.0
37,7313.38,0.0,7313.38
38,7289.86,7289.86,0.0
39,7304.76,0.0,7304.76
40,7263.22,0.0,0.0
41,7256.98,0.0,0.0
42,7265.3,0.0,0.0
43,7277.08,0.0,0.0
44,7267.01,7267.01,0.0
45,7265.33,0.0,0.0
46,7250.77,0.0,0.0
47,7263.57,7263.57,0.0
48,7284.99,0.0,7284.99
49,7301.0,0.0,7301.0
50,7281.12,0.0,0.0
51,7281.13,0.0,7281.13
52,7304.99,0.0,0.0
53,7329.0,0.0,0.0
54,7353.5,0.0,0.0
55,7362.01,0.0,0.0
56,7360.01,0.0,7360.01
57,7364.72,0.0,0.0
58,7364.99,0.0,0.0
59,7377.0,0.0,0.0
60,7349.99,0.0,7349.99
61,7349.97,0.0,0.0
62,7359.78,0.0,0.0
63,7353.35,0.0,0.0
64,7355.23,0.0,7355.23
65,7360.0,0.0,0.0
66,7375.0,0.0,0.0
67,7383.88,0.0,0.0
68,7378.5,0.0,7378.5
69,7368.0,0.0,7368.0
70,7353.0,7353.0,0.0
71,7370.0,7370.0,0.0
72,7369.99,0.0,0.0
73,7361.01,0.0,0.0
74,7371.58,0.0,0.0
75,7106.86,0.0,0.0
76,6987.66,0.0,0.0
77,6993.74,0.0,0.0
78,6985.0,6985.0,0.0
79,7031.96,7031.96,0.0
80,7011.97,0.0,0.0
81,6985.0,0.0,0.0
82,6918.01,0.0,0.0
83,6912.88,6912.88,0.0
84,6915.0,0.0,6915.0
85,6901.52,0.0,0.0
86,6948.41,0.0,6948.41
87,6932.01,6932.01,0.0
88,6898.39,0.0,0.0
89,6687.96,0.0,0.0
90,6419.67,6419.67,0.0
91,6421.51,6421.51,0.0
92,6445.0,0.0,6445.0
93,6407.21,0.0,0.0
94,6429.94,0.0,6429.94
95,6389.96,0.0,6389.96
96,6405.01,6405.01,0.0
97,6400.0,6400.0,0.0
98,6422.99,0.0,0.0
99,6372.65,6372.65,0.0
100,6364.34,0.0,6364.34
101,6393.58,6393.58,0.0
102,6389.6,6389.6,0.0
103,6480.0,6480.0,0.0
104,6457.97,6457.97,0.0
105,6414.0,0.0,0.0
106,6410.02,6410.02,0.0
107,6375.09,6375.09,0.0
108,6413.0,6413.0,0.0
109,6453.42,6453.42,0.0
110,6442.61,6442.61,0.0
111,6429.9,6429.9,0.0
112,6454.99,6454.99,0.0
113,6495.0,6495.0,0.0
114,6481.76,6481.76,0.0
115,6512.73,6512.73,0.0
116,6494.92,6494.92,0.0
117,6494.94,6494.94,0.0
118,6483.89,0.0,0.0
119,6511.51,6511.51,0.0
120,6472.09,6472.09,0.0
121,6485.01,0.0,0.0
122,6454.97,6454.97,0.0
123,6455.0,6455.0,0.0
124,6363.96,6363.96,0.0
125,6366.2,6366.2,0.0
126,6425.0,6425.0,0.0
127,6441.96,0.0,6441.96
128,6410.82,6410.82,0.0
129,6373.35,6373.35,0.0
130,6439.26,0.0,0.0
131,6415.0,0.0,6415.0
132,6410.03,6410.03,0.0
133,6420.0,6420.0,0.0
134,6442.58,6442.58,0.0
135,6421.18,6421.18,0.0
136,6403.05,6403.05,0.0
137,6395.01,6395.01,0.0
138,6428.26,6428.26,0.0
139,6422.32,6422.32,0.0
140,6436.3,6436.3,0.0
141,6414.7,6414.7,0.0
142,6422.66,6422.66,0.0
143,6435.0,6435.0,0.0
144,6432.12,6432.12,0.0
145,6437.45,6437.45,0.0
146,6454.52,6454.52,0.0
147,6456.13,6456.13,0.0
148,6446.85,6446.85,0.0
149,6437.75,6437.75,0.0
150,6412.02,6412.02,0.0
151,6415.74,6415.74,0.0
152,6399.99,6399.99,0.0
153,6425.52,6425.52,0.0
154,6376.54,6376.54,0.0
155,6213.0,0.0,0.0
156,6190.1,0.0,6190.1
157,6177.49,0.0,0.0
158,6171.43,0.0,0.0
159,6183.92,6183.92,0.0
160,6175.1,0.0,0.0
161,6188.0,6188.0,0.0
162,6180.0,6180.0,0.0
163,6200.0,6200.0,0.0
164,6165.0,6165.0,0.0
165,6177.78,0.0,6177.78
166,6175.64,0.0,6175.64
167,6181.19,6181.19,0.0
