,rewardSum,profit,guessedRightCnt,guessedWrongCnt,guessUpCnt,guessDownCnt,guessSkipCnt,guessCnt
0,-2.98,-30.0,0.0,5.0,5.0,0.0,70.0,75.0
1,-0.22999999999999995,-23.0,3.0,5.0,8.0,0.0,68.0,76.0
2,0.03,-1.0,2.0,3.0,5.0,0.0,67.0,72.0
3,-0.3899999999999999,34.0,3.0,3.0,6.0,0.0,72.0,78.0
4,0.22999999999999998,-1.0,3.0,2.0,5.0,0.0,68.0,73.0
5,0.32000000000000006,12.0,3.0,1.0,4.0,0.0,76.0,80.0
6,-0.28000000000000014,58.0,3.0,2.0,5.0,0.0,68.0,73.0
7,0.19999999999999996,20.0,2.0,3.0,5.0,0.0,73.0,78.0
8,1.25,25.0,3.0,1.0,4.0,0.0,75.0,79.0
9,0.04,0.0,1.0,0.0,1.0,0.0,75.0,76.0
10,-0.35999999999999993,-8.0,1.0,2.0,3.0,0.0,69.0,72.0
11,-2.79,-17.0,1.0,4.0,5.0,0.0,70.0,75.0
12,0.9399999999999998,42.0,3.0,2.0,5.0,0.0,69.0,74.0
13,0.07,-238.0,8.0,7.0,15.0,0.0,62.0,77.0
14,0.25,50.0,2.0,2.0,4.0,0.0,72.0,76.0
15,0.2700000000000002,-163.0,8.0,7.0,15.0,0.0,62.0,77.0
16,1.4,54.0,4.0,2.0,6.0,0.0,70.0,76.0
17,-0.3899999999999999,-20.0,3.0,2.0,5.0,0.0,66.0,71.0
18,-0.61,-2.0,0.0,2.0,2.0,0.0,71.0,73.0
19,-0.97,37.0,2.0,3.0,5.0,0.0,69.0,74.0
20,0.12,-12.0,2.0,2.0,4.0,0.0,70.0,74.0
21,0.8099999999999999,34.0,5.0,1.0,6.0,0.0,74.0,80.0
22,-4.459999999999999,-184.0,5.0,7.0,12.0,0.0,68.0,80.0
23,0.81,35.0,4.0,4.0,8.0,0.0,70.0,78.0
24,1.1700000000000002,46.0,3.0,2.0,5.0,0.0,75.0,80.0
25,0.4,69.0,3.0,3.0,6.0,0.0,73.0,79.0
26,-0.41,20.0,1.0,2.0,3.0,0.0,73.0,76.0
27,0.84,19.0,1.0,0.0,1.0,0.0,70.0,71.0
28,0.5900000000000001,-1.0,1.0,1.0,2.0,0.0,71.0,73.0
29,-0.47,48.0,3.0,2.0,5.0,0.0,67.0,72.0
30,0.5800000000000001,-3.0,4.0,3.0,7.0,0.0,73.0,80.0
31,0.22,1.0,2.0,1.0,3.0,0.0,73.0,76.0
32,0.29000000000000004,26.0,3.0,2.0,5.0,0.0,67.0,72.0
33,0.6100000000000001,-3.0,2.0,1.0,3.0,0.0,75.0,78.0
34,-0.4,13.0,0.0,1.0,1.0,0.0,78.0,79.0
35,0.2700000000000002,-166.0,8.0,7.0,15.0,0.0,60.0,75.0
36,0.4,30.0,3.0,1.0,4.0,0.0,69.0,73.0
37,0.22000000000000006,39.0,3.0,1.0,4.0,0.0,69.0,73.0
38,-2.69,-1.0,3.0,5.0,8.0,0.0,72.0,80.0
39,1.3900000000000001,51.0,3.0,2.0,5.0,0.0,67.0,72.0
40,-1.7499999999999998,-16.0,1.0,3.0,4.0,0.0,68.0,72.0
41,-0.5499999999999999,-5.0,3.0,3.0,6.0,0.0,70.0,76.0
42,-2.4099999999999997,-16.0,1.0,5.0,6.0,0.0,73.0,79.0
43,0.3400000000000001,-47.0,3.0,1.0,4.0,0.0,73.0,77.0
44,-0.02999999999999997,-9.0,1.0,1.0,2.0,0.0,71.0,73.0
45,0.38,-14.0,2.0,1.0,3.0,0.0,70.0,73.0
46,-0.35,34.0,3.0,2.0,5.0,0.0,73.0,78.0
47,-0.3899999999999999,-15.0,3.0,2.0,5.0,0.0,74.0,79.0
48,2.2700000000000005,-4.0,7.0,3.0,10.0,0.0,62.0,72.0
49,-0.04999999999999971,-210.0,4.0,4.0,8.0,0.0,67.0,75.0
50,0.39,-27.0,3.0,1.0,4.0,0.0,76.0,80.0
51,-0.5700000000000003,-130.0,6.0,8.0,14.0,0.0,58.0,72.0
52,0.3400000000000001,-47.0,3.0,1.0,4.0,0.0,72.0,76.0
53,-0.14,5.0,0.0,1.0,1.0,0.0,76.0,77.0
54,1.56,-31.0,1.0,2.0,3.0,0.0,74.0,77.0
55,0.93,23.0,4.0,4.0,8.0,0.0,69.0,77.0
56,-3.23,-15.0,0.0,5.0,5.0,0.0,67.0,72.0
57,-0.03,-2.0,2.0,3.0,5.0,0.0,73.0,78.0
58,0.48,55.0,3.0,3.0,6.0,0.0,72.0,78.0
59,0.07000000000000015,5.0,4.0,2.0,6.0,0.0,69.0,75.0
60,-0.24,-15.0,0.0,1.0,1.0,0.0,74.0,75.0
61,2.1300000000000003,-21.0,4.0,3.0,7.0,0.0,72.0,79.0
62,0.48,5.0,2.0,0.0,2.0,0.0,70.0,72.0
63,0.82,-152.0,7.0,5.0,12.0,0.0,68.0,80.0
64,-1.33,2.0,0.0,2.0,2.0,0.0,69.0,71.0
65,-2.71,-27.0,2.0,5.0,7.0,0.0,64.0,71.0
66,-0.15,22.0,0.0,1.0,1.0,0.0,72.0,73.0
67,0.6000000000000001,-20.0,4.0,3.0,7.0,0.0,65.0,72.0
68,0.18000000000000002,11.0,3.0,1.0,4.0,0.0,75.0,79.0
69,-0.11999999999999997,19.0,2.0,2.0,4.0,0.0,74.0,78.0
70,-0.06999999999999999,35.0,1.0,3.0,4.0,0.0,67.0,71.0
71,-2.4499999999999997,-10.0,1.0,5.0,6.0,0.0,73.0,79.0
72,0.22999999999999998,3.0,1.0,1.0,2.0,0.0,76.0,78.0
73,2.1300000000000003,-21.0,4.0,3.0,7.0,0.0,68.0,75.0
74,0.45999999999999996,14.0,3.0,1.0,4.0,0.0,68.0,72.0
75,0.03999999999999998,-7.0,1.0,1.0,2.0,0.0,72.0,74.0
76,0.14,34.0,1.0,0.0,1.0,0.0,72.0,73.0
77,-2.69,-12.0,1.0,5.0,6.0,0.0,74.0,80.0
78,0.3500000000000001,48.0,2.0,3.0,5.0,0.0,70.0,75.0
79,-0.76,15.0,0.0,2.0,2.0,0.0,75.0,77.0
80,-0.55,-4.0,0.0,1.0,1.0,0.0,79.0,80.0
81,1.4000000000000001,3.0,6.0,2.0,8.0,0.0,71.0,79.0
82,0.3400000000000001,-47.0,3.0,1.0,4.0,0.0,70.0,74.0
83,-0.22999999999999995,23.0,3.0,3.0,6.0,0.0,70.0,76.0
84,-0.3599999999999999,5.0,3.0,2.0,5.0,0.0,73.0,78.0
85,0.14999999999999997,0.0,3.0,2.0,5.0,0.0,72.0,77.0
86,-3.06,-28.0,1.0,6.0,7.0,0.0,69.0,76.0
87,0.5800000000000001,-3.0,4.0,3.0,7.0,0.0,69.0,76.0
88,0.38,-14.0,2.0,1.0,3.0,0.0,77.0,80.0
89,0.7100000000000002,28.0,3.0,3.0,6.0,0.0,70.0,76.0
90,0.22000000000000006,39.0,3.0,1.0,4.0,0.0,68.0,72.0
91,-1.78,-14.0,2.0,4.0,6.0,0.0,65.0,71.0
92,-0.23,22.0,2.0,2.0,4.0,0.0,76.0,80.0
93,-0.9199999999999999,57.0,3.0,4.0,7.0,0.0,69.0,76.0
94,0.36999999999999994,4.0,3.0,4.0,7.0,0.0,70.0,77.0
95,-2.0399999999999996,-13.0,2.0,4.0,6.0,0.0,74.0,80.0
96,-1.9600000000000002,20.0,0.0,3.0,3.0,0.0,74.0,77.0
97,-0.05999999999999989,-193.0,7.0,8.0,15.0,0.0,58.0,73.0
98,-0.49000000000000016,-238.0,5.0,6.0,11.0,0.0,63.0,74.0
99,0.39,-27.0,3.0,1.0,4.0,0.0,69.0,73.0
