,rewardSum,profit,guessedRightCnt,guessedWrongCnt,skipCnt,guessCnt
21162,3.0,-26.0,3.0,0.0,0.0,13.0
21163,2.0,-7.0,2.0,0.0,1.0,7.0
21164,1.0,-4.0,3.0,2.0,3.0,17.0
21165,1.0,-11.0,1.0,0.0,0.0,11.0
21166,0.0,20.0,2.0,2.0,2.0,16.0
21167,1.0,-8.0,1.0,0.0,2.0,8.0
21168,2.0,-25.0,3.0,1.0,1.0,33.0
21169,1.0,-29.0,1.0,0.0,2.0,19.0
21170,1.0,28.0,2.0,1.0,0.0,25.0
21171,1.0,11.0,1.0,0.0,1.0,23.0
21172,1.0,-9.0,2.0,1.0,0.0,8.0
21173,1.0,0.0,1.0,0.0,0.0,1.0
21174,1.0,-9.0,1.0,0.0,1.0,44.0
21175,-1.0,-38.0,0.0,1.0,1.0,14.0
21176,0.0,0.0,0.0,0.0,1.0,1.0
21177,3.0,65.0,4.0,1.0,3.0,71.0
21178,-1.0,16.0,0.0,1.0,0.0,12.0
21179,-1.0,-9.0,0.0,1.0,1.0,14.0
21180,1.0,0.0,1.0,0.0,0.0,2.0
21181,4.0,-28.0,5.0,1.0,4.0,71.0
21182,1.0,0.0,1.0,0.0,0.0,2.0
21183,2.0,-10.0,2.0,0.0,2.0,48.0
21184,1.0,11.0,1.0,0.0,0.0,33.0
21185,1.0,-13.0,1.0,0.0,0.0,2.0
21186,1.0,26.0,1.0,0.0,0.0,12.0
21187,0.0,-25.0,0.0,0.0,1.0,12.0
21188,2.0,28.0,4.0,2.0,0.0,10.0
21189,-1.0,-15.0,0.0,1.0,0.0,71.0
21190,6.0,67.0,8.0,2.0,4.0,71.0
21191,-1.0,0.0,0.0,1.0,0.0,1.0
21192,3.0,-17.0,3.0,0.0,2.0,71.0
21193,2.0,-7.0,2.0,0.0,0.0,12.0
21194,1.0,7.0,1.0,0.0,0.0,15.0
21195,2.0,71.0,3.0,1.0,1.0,71.0
21196,0.0,4.0,0.0,0.0,1.0,44.0
21197,-1.0,-62.0,1.0,2.0,1.0,55.0
21198,1.0,0.0,1.0,0.0,1.0,5.0
21199,3.0,22.0,3.0,0.0,0.0,34.0
21200,-1.0,11.0,0.0,1.0,0.0,3.0
21201,3.0,0.0,3.0,0.0,0.0,17.0
21202,1.0,0.0,1.0,0.0,0.0,2.0
21203,0.0,7.0,0.0,0.0,1.0,36.0
21204,0.0,30.0,0.0,0.0,1.0,34.0
21205,-1.0,0.0,0.0,1.0,0.0,2.0
21206,-1.0,0.0,0.0,1.0,1.0,11.0
21207,2.0,14.0,2.0,0.0,2.0,43.0
21208,2.0,-56.0,4.0,2.0,2.0,56.0
21209,3.0,-10.0,3.0,0.0,0.0,42.0
21210,1.0,21.0,1.0,0.0,0.0,29.0
21211,4.0,12.0,4.0,0.0,0.0,17.0
21212,3.0,56.0,4.0,1.0,0.0,71.0
21213,0.0,10.0,1.0,1.0,0.0,4.0
21214,1.0,-31.0,1.0,0.0,1.0,15.0
21215,0.0,8.0,1.0,1.0,2.0,6.0
21216,0.0,-29.0,0.0,0.0,1.0,10.0
21217,0.0,-64.0,2.0,2.0,1.0,11.0
21218,0.0,28.0,1.0,1.0,0.0,9.0
21219,2.0,126.0,2.0,0.0,5.0,25.0
21220,1.0,0.0,2.0,1.0,0.0,5.0
21221,1.0,-30.0,1.0,0.0,3.0,60.0
21222,0.0,-12.0,2.0,2.0,1.0,27.0
21223,0.0,0.0,0.0,0.0,1.0,1.0
21224,0.0,20.0,2.0,2.0,2.0,6.0
21225,-1.0,-9.0,0.0,1.0,2.0,33.0
21226,0.0,-8.0,1.0,1.0,1.0,21.0
21227,2.0,-3.0,2.0,0.0,2.0,10.0
