,rewardSum,profit,guessedRightCnt,guessedWrongCnt,guessUpCnt,guessDownCnt,guessSkipCnt,guessCnt
0,4.41,0.0,12.0,10.0,11.0,11.0,10.0,32.0
1,0.6700000000000005,0.0,9.0,10.0,9.0,10.0,16.0,35.0
2,-4.32,0.0,4.0,10.0,7.0,7.0,10.0,24.0
3,-1.3900000000000001,0.0,11.0,10.0,9.0,12.0,14.0,35.0
4,-5.549999999999999,0.0,5.0,10.0,3.0,12.0,8.0,23.0
5,-6.73,0.0,11.0,10.0,14.0,7.0,13.0,34.0
6,0.05999999999999983,0.0,13.0,10.0,5.0,18.0,13.0,36.0
7,-5.349999999999999,0.0,11.0,10.0,9.0,13.0,7.0,29.0
8,3.3099999999999996,0.0,6.0,10.0,10.0,6.0,4.0,20.0
9,1.13,0.0,8.0,10.0,9.0,9.0,7.0,25.0
10,1.8199999999999998,0.0,11.0,10.0,15.0,6.0,8.0,29.0
11,1.1700000000000004,0.0,7.0,10.0,10.0,7.0,9.0,26.0
12,18.459999999999997,0.0,18.0,10.0,17.0,11.0,23.0,51.0
13,-3.86,0.0,5.0,10.0,6.0,9.0,6.0,21.0
14,2.9099999999999993,0.0,15.0,10.0,14.0,11.0,18.0,43.0
15,-0.9,0.0,8.0,10.0,11.0,7.0,7.0,25.0
16,7.840000000000002,0.0,16.0,10.0,10.0,16.0,17.0,43.0
17,1.0599999999999998,0.0,11.0,10.0,8.0,13.0,18.0,39.0
18,3.6999999999999997,0.0,10.0,10.0,11.0,9.0,11.0,31.0
19,-0.04999999999999982,0.0,6.0,10.0,5.0,11.0,9.0,25.0
20,-3.4000000000000004,0.0,12.0,10.0,11.0,11.0,9.0,31.0
21,2.1499999999999995,0.0,8.0,10.0,11.0,7.0,11.0,29.0
22,1.5999999999999996,0.0,11.0,10.0,11.0,10.0,10.0,31.0
23,-2.6999999999999997,0.0,7.0,10.0,7.0,10.0,15.0,32.0
24,1.86,0.0,13.0,10.0,12.0,11.0,11.0,34.0
25,-1.8500000000000005,0.0,12.0,10.0,7.0,15.0,13.0,35.0
26,2.139999999999999,0.0,7.0,10.0,10.0,7.0,3.0,20.0
27,1.33,0.0,7.0,10.0,8.0,9.0,3.0,20.0
28,-3.110000000000001,0.0,6.0,10.0,9.0,7.0,3.0,19.0
29,3.1400000000000006,0.0,17.0,10.0,14.0,13.0,17.0,44.0
30,-6.83,0.0,6.0,10.0,8.0,8.0,4.0,20.0
31,2.4299999999999997,0.0,6.0,10.0,7.0,9.0,5.0,21.0
32,0.5499999999999998,0.0,14.0,10.0,15.0,9.0,17.0,41.0
33,5.990000000000002,0.0,16.0,10.0,16.0,10.0,14.0,40.0
34,8.450000000000003,0.0,10.0,10.0,10.0,10.0,6.0,26.0
35,2.13,0.0,15.0,10.0,14.0,11.0,9.0,34.0
36,-0.5199999999999999,0.0,9.0,10.0,10.0,10.0,6.0,26.0
37,1.01,0.0,24.0,10.0,22.0,12.0,8.0,42.0
38,2.450000000000001,0.0,10.0,10.0,6.0,14.0,11.0,31.0
39,1.72,0.0,12.0,10.0,9.0,13.0,11.0,33.0
40,-1.5299999999999998,0.0,7.0,10.0,8.0,9.0,12.0,29.0
41,13.349999999999998,0.0,9.0,10.0,8.0,11.0,7.0,26.0
42,-1.4199999999999993,0.0,7.0,10.0,8.0,9.0,10.0,27.0
43,3.8299999999999987,0.0,15.0,10.0,9.0,16.0,17.0,42.0
44,-4.64,0.0,3.0,10.0,5.0,8.0,10.0,23.0
45,0.54,0.0,10.0,10.0,10.0,10.0,8.0,28.0
46,-0.66,0.0,9.0,10.0,11.0,8.0,10.0,29.0
47,-2.7700000000000005,0.0,11.0,10.0,11.0,10.0,15.0,36.0
48,-2.14,0.0,9.0,10.0,8.0,11.0,10.0,29.0
49,-2.36,0.0,7.0,10.0,8.0,9.0,5.0,22.0
50,-0.81,0.0,10.0,10.0,8.0,12.0,3.0,23.0
51,-13.410000000000004,0.0,7.0,10.0,9.0,8.0,7.0,24.0
52,0.8200000000000001,0.0,8.0,10.0,9.0,9.0,16.0,34.0
53,-2.8100000000000005,0.0,7.0,10.0,10.0,7.0,4.0,21.0
54,-4.61,0.0,7.0,10.0,8.0,10.0,13.0,31.0
55,-3.0,0.0,4.0,10.0,11.0,3.0,6.0,20.0
56,17.440000000000005,0.0,25.0,10.0,21.0,14.0,19.0,54.0
57,-5.040000000000002,0.0,11.0,10.0,11.0,10.0,6.0,27.0
58,1.5599999999999987,0.0,12.0,10.0,12.0,10.0,19.0,41.0
59,7.6800000000000015,0.0,16.0,10.0,9.0,17.0,9.0,35.0
60,-0.8200000000000008,0.0,10.0,10.0,10.0,10.0,14.0,34.0
61,2.98,0.0,12.0,10.0,11.0,11.0,10.0,32.0
62,1.8299999999999996,0.0,7.0,10.0,9.0,8.0,14.0,31.0
63,0.8599999999999997,0.0,7.0,10.0,11.0,6.0,8.0,25.0
64,1.7500000000000002,0.0,9.0,10.0,9.0,10.0,13.0,32.0
65,-4.11,0.0,4.0,10.0,6.0,8.0,11.0,25.0
66,3.4400000000000004,0.0,12.0,10.0,13.0,9.0,10.0,32.0
67,2.47,0.0,16.0,10.0,12.0,15.0,19.0,46.0
68,-1.06,0.0,8.0,10.0,8.0,10.0,10.0,28.0
69,-0.55,0.0,4.0,10.0,6.0,8.0,3.0,17.0
70,11.299999999999999,0.0,13.0,10.0,10.0,13.0,14.0,37.0
71,-2.0700000000000003,0.0,6.0,10.0,6.0,10.0,8.0,24.0
72,0.72,0.0,5.0,10.0,7.0,8.0,7.0,22.0
73,6.279999999999999,0.0,10.0,10.0,11.0,9.0,14.0,34.0
74,-1.2999999999999998,0.0,6.0,10.0,6.0,10.0,6.0,22.0
75,6.51,0.0,15.0,10.0,12.0,13.0,11.0,36.0
76,-0.7199999999999998,0.0,13.0,10.0,8.0,15.0,16.0,39.0
77,-3.33,0.0,9.0,10.0,9.0,10.0,7.0,26.0
78,6.4,0.0,12.0,10.0,16.0,6.0,18.0,40.0
79,5.7799999999999985,0.0,14.0,10.0,18.0,6.0,10.0,34.0
80,-0.81,0.0,6.0,10.0,7.0,9.0,8.0,24.0
81,0.4800000000000001,0.0,11.0,10.0,13.0,8.0,9.0,30.0
82,3.2399999999999993,0.0,15.0,10.0,19.0,6.0,13.0,38.0
83,0.29999999999999993,0.0,5.0,10.0,6.0,9.0,5.0,20.0
84,-1.0200000000000005,0.0,7.0,10.0,9.0,8.0,6.0,23.0
85,6.009999999999998,0.0,10.0,10.0,8.0,12.0,10.0,30.0
86,-0.6600000000000001,0.0,9.0,10.0,9.0,10.0,10.0,29.0
87,-0.7799999999999998,0.0,5.0,10.0,11.0,4.0,9.0,24.0
88,8.65,0.0,11.0,10.0,12.0,9.0,10.0,31.0
89,-0.42999999999999994,0.0,5.0,10.0,7.0,8.0,9.0,24.0
90,-1.0499999999999994,0.0,7.0,10.0,10.0,7.0,7.0,24.0
91,17.69,0.0,22.0,10.0,16.0,16.0,21.0,53.0
92,-2.6100000000000003,0.0,11.0,10.0,10.0,13.0,19.0,42.0
93,-0.6700000000000005,0.0,5.0,10.0,10.0,5.0,12.0,27.0
94,-7.659999999999998,0.0,2.0,10.0,1.0,11.0,7.0,19.0
95,-2.8699999999999997,0.0,12.0,10.0,15.0,7.0,20.0,42.0
96,-9.040000000000001,0.0,3.0,10.0,4.0,9.0,11.0,24.0
97,28.94,0.0,20.0,10.0,13.0,17.0,19.0,49.0
98,1.6300000000000001,0.0,11.0,10.0,9.0,12.0,14.0,35.0
99,-7.22,0.0,6.0,10.0,7.0,9.0,11.0,27.0
100,5.02,0.0,12.0,10.0,11.0,11.0,11.0,33.0
101,-15.02,0.0,2.0,10.0,8.0,5.0,3.0,16.0
102,-1.11,0.0,7.0,10.0,11.0,6.0,7.0,24.0
103,3.0300000000000002,0.0,12.0,10.0,8.0,14.0,14.0,36.0
104,-2.87,0.0,6.0,10.0,8.0,8.0,8.0,24.0
105,-3.66,0.0,7.0,10.0,12.0,6.0,11.0,29.0
106,-2.1299999999999994,0.0,9.0,10.0,8.0,11.0,16.0,35.0
107,5.509999999999998,0.0,26.0,10.0,19.0,17.0,26.0,62.0
108,2.8699999999999997,0.0,8.0,10.0,9.0,9.0,13.0,31.0
