,rewardSum,profit,guessedRightCnt,guessedWrongCnt,skipCnt,guessCnt
0,0.0,18.0,0.0,0.0,3.0,24.0
1,0.0,0.0,0.0,0.0,1.0,4.0
2,0.0,5.0,0.0,0.0,2.0,41.0
3,0.0,-17.0,0.0,0.0,1.0,37.0
4,0.0,-38.0,0.0,0.0,3.0,74.0
5,0.0,32.0,0.0,0.0,5.0,15.0
6,0.0,12.0,0.0,0.0,1.0,13.0
7,0.0,-28.0,0.0,0.0,1.0,14.0
8,0.0,11.0,0.0,0.0,4.0,76.0
9,0.0,18.0,0.0,0.0,1.0,23.0
10,0.0,14.0,0.0,0.0,1.0,32.0
11,0.0,16.0,0.0,0.0,2.0,72.0
12,0.0,4.0,0.0,0.0,2.0,71.0
13,0.0,-24.0,0.0,0.0,1.0,30.0
14,-1.0,24.0,0.0,1.0,4.0,13.0
15,0.0,18.0,0.0,0.0,2.0,71.0
16,0.0,17.0,0.0,0.0,2.0,80.0
17,0.0,19.0,0.0,0.0,2.0,75.0
18,0.0,0.0,0.0,0.0,1.0,1.0
19,0.0,28.0,0.0,0.0,3.0,79.0
20,0.0,-17.0,0.0,0.0,7.0,28.0
21,0.0,0.0,0.0,0.0,1.0,1.0
22,0.0,-12.0,0.0,0.0,1.0,54.0
23,0.0,20.0,0.0,0.0,2.0,76.0
24,0.0,23.0,0.0,0.0,1.0,76.0
25,0.0,-21.0,0.0,0.0,1.0,13.0
26,0.0,-4.0,0.0,0.0,2.0,77.0
27,0.0,31.0,0.0,0.0,3.0,76.0
28,0.0,22.0,0.0,0.0,3.0,79.0
29,0.0,10.0,0.0,0.0,0.0,75.0
30,0.0,-11.0,0.0,0.0,1.0,59.0
31,0.0,32.0,0.0,0.0,1.0,78.0
32,1.0,-14.0,1.0,0.0,4.0,22.0
33,0.0,-5.0,0.0,0.0,2.0,79.0
34,-1.0,20.0,0.0,1.0,1.0,41.0
35,0.0,24.0,0.0,0.0,4.0,80.0
36,0.0,22.0,0.0,0.0,3.0,79.0
37,0.0,-4.0,0.0,0.0,2.0,72.0
38,0.0,18.0,0.0,0.0,3.0,78.0
39,0.0,0.0,0.0,0.0,1.0,6.0
40,0.0,0.0,0.0,0.0,0.0,1.0
41,1.0,-9.0,1.0,0.0,2.0,76.0
42,0.0,-29.0,0.0,0.0,1.0,11.0
43,0.0,16.0,0.0,0.0,0.0,71.0
44,-1.0,7.0,1.0,2.0,0.0,76.0
45,0.0,0.0,0.0,0.0,2.0,10.0
46,0.0,0.0,0.0,0.0,0.0,1.0
47,1.0,-11.0,1.0,0.0,1.0,42.0
48,0.0,12.0,0.0,0.0,0.0,74.0
49,1.0,-16.0,1.0,0.0,0.0,15.0
50,0.0,19.0,1.0,1.0,0.0,74.0
51,-1.0,15.0,0.0,1.0,0.0,13.0
52,1.0,0.0,1.0,0.0,0.0,3.0
53,-1.0,15.0,0.0,1.0,0.0,25.0
54,0.0,14.0,1.0,1.0,0.0,77.0
55,0.0,13.0,0.0,0.0,0.0,75.0
56,0.0,20.0,0.0,0.0,2.0,71.0
57,0.0,13.0,0.0,0.0,2.0,71.0
58,0.0,24.0,0.0,0.0,2.0,71.0
59,0.0,18.0,0.0,0.0,0.0,73.0
60,0.0,2.0,0.0,0.0,1.0,74.0
61,0.0,-25.0,0.0,0.0,1.0,7.0
62,0.0,24.0,0.0,0.0,1.0,77.0
63,0.0,-25.0,0.0,0.0,1.0,7.0
64,0.0,32.0,0.0,0.0,4.0,56.0
65,-1.0,-7.0,0.0,1.0,2.0,12.0
66,0.0,-12.0,0.0,0.0,1.0,70.0
67,0.0,26.0,0.0,0.0,2.0,70.0
68,0.0,-2.0,0.0,0.0,2.0,74.0
69,0.0,62.0,0.0,0.0,7.0,35.0
70,0.0,29.0,0.0,0.0,3.0,75.0
71,0.0,38.0,0.0,0.0,0.0,71.0
72,0.0,18.0,0.0,0.0,2.0,78.0
73,0.0,32.0,0.0,0.0,3.0,50.0
74,0.0,12.0,0.0,0.0,2.0,77.0
75,0.0,16.0,0.0,0.0,0.0,79.0
76,0.0,-8.0,0.0,0.0,2.0,75.0
77,0.0,44.0,0.0,0.0,1.0,79.0
78,0.0,25.0,0.0,0.0,1.0,38.0
79,0.0,26.0,0.0,0.0,3.0,77.0
80,0.0,-19.0,0.0,0.0,1.0,27.0
81,0.0,-4.0,0.0,0.0,2.0,80.0
82,0.0,-25.0,0.0,0.0,1.0,5.0
83,0.0,-20.0,0.0,0.0,3.0,15.0
84,1.0,0.0,1.0,0.0,0.0,4.0
85,0.0,20.0,0.0,0.0,2.0,78.0
86,0.0,20.0,0.0,0.0,1.0,7.0
87,0.0,33.0,0.0,0.0,1.0,46.0
88,0.0,-23.0,0.0,0.0,1.0,3.0
89,0.0,-14.0,0.0,0.0,3.0,71.0
90,0.0,-29.0,0.0,0.0,2.0,19.0
91,0.0,34.0,0.0,0.0,3.0,76.0
92,0.0,-16.0,0.0,0.0,3.0,79.0
93,0.0,-16.0,0.0,0.0,1.0,36.0
94,0.0,24.0,0.0,0.0,2.0,69.0
95,-1.0,0.0,0.0,1.0,0.0,3.0
96,0.0,-22.0,0.0,0.0,3.0,48.0
97,-1.0,0.0,0.0,1.0,0.0,6.0
98,0.0,-33.0,0.0,0.0,4.0,44.0
99,0.0,-28.0,0.0,0.0,1.0,25.0
100,0.0,42.0,0.0,0.0,2.0,73.0
101,0.0,-26.0,0.0,0.0,1.0,17.0
102,0.0,23.0,0.0,0.0,1.0,80.0
103,0.0,26.0,0.0,0.0,3.0,76.0
104,0.0,26.0,0.0,0.0,2.0,72.0
105,0.0,-17.0,0.0,0.0,1.0,42.0
106,0.0,-21.0,0.0,0.0,1.0,9.0
107,0.0,20.0,0.0,0.0,3.0,60.0
108,0.0,3.0,0.0,0.0,2.0,79.0
109,0.0,31.0,0.0,0.0,3.0,72.0
110,0.0,-20.0,0.0,0.0,2.0,71.0
111,0.0,10.0,0.0,0.0,2.0,77.0
112,0.0,0.0,0.0,0.0,1.0,3.0
113,0.0,-16.0,0.0,0.0,2.0,75.0
114,0.0,26.0,0.0,0.0,2.0,72.0
115,0.0,0.0,0.0,0.0,2.0,78.0
116,0.0,21.0,0.0,0.0,2.0,77.0
117,0.0,39.0,0.0,0.0,4.0,40.0
118,0.0,-26.0,0.0,0.0,1.0,19.0
119,0.0,24.0,0.0,0.0,2.0,76.0
120,0.0,-19.0,0.0,0.0,1.0,4.0
121,0.0,18.0,0.0,0.0,2.0,73.0
122,0.0,19.0,0.0,0.0,2.0,48.0
123,0.0,-18.0,0.0,0.0,2.0,72.0
124,0.0,-20.0,0.0,0.0,6.0,65.0
125,0.0,39.0,0.0,0.0,4.0,40.0
126,0.0,-25.0,0.0,0.0,1.0,19.0
127,0.0,-15.0,0.0,0.0,2.0,58.0
128,0.0,0.0,0.0,0.0,1.0,1.0
129,0.0,12.0,0.0,0.0,2.0,11.0
130,0.0,-17.0,0.0,0.0,3.0,79.0
131,0.0,-32.0,0.0,0.0,2.0,72.0
132,0.0,0.0,0.0,0.0,2.0,10.0
133,0.0,0.0,0.0,0.0,0.0,1.0
134,0.0,24.0,0.0,0.0,2.0,77.0
135,0.0,-29.0,0.0,0.0,3.0,40.0
136,0.0,10.0,0.0,0.0,2.0,75.0
137,0.0,22.0,0.0,0.0,2.0,62.0
138,0.0,18.0,0.0,0.0,1.0,29.0
139,0.0,44.0,0.0,0.0,5.0,21.0
140,0.0,-23.0,0.0,0.0,3.0,52.0
141,0.0,0.0,0.0,0.0,1.0,2.0
142,0.0,2.0,0.0,0.0,2.0,76.0
143,0.0,4.0,0.0,0.0,2.0,71.0
144,0.0,-28.0,0.0,0.0,1.0,30.0
145,0.0,54.0,0.0,0.0,3.0,23.0
146,0.0,0.0,0.0,0.0,1.0,5.0
147,0.0,0.0,0.0,0.0,0.0,1.0
148,0.0,0.0,0.0,0.0,1.0,1.0
149,0.0,-20.0,0.0,0.0,5.0,61.0
150,1.0,0.0,1.0,0.0,0.0,6.0
151,-1.0,12.0,0.0,1.0,3.0,67.0
152,0.0,29.0,0.0,0.0,4.0,76.0
153,-1.0,7.0,0.0,1.0,1.0,72.0
154,0.0,26.0,0.0,0.0,1.0,35.0
155,0.0,14.0,0.0,0.0,2.0,78.0
156,-1.0,29.0,0.0,1.0,2.0,50.0
157,0.0,37.0,0.0,0.0,4.0,54.0
158,0.0,-5.0,0.0,0.0,2.0,76.0
159,0.0,-28.0,0.0,0.0,1.0,9.0
160,0.0,37.0,0.0,0.0,4.0,33.0
161,0.0,17.0,0.0,0.0,3.0,78.0
162,0.0,-27.0,0.0,0.0,1.0,5.0
163,0.0,-29.0,0.0,0.0,1.0,10.0
164,0.0,0.0,0.0,0.0,1.0,1.0
165,0.0,39.0,0.0,0.0,4.0,37.0
166,0.0,23.0,0.0,0.0,2.0,76.0
167,0.0,0.0,0.0,0.0,1.0,6.0
168,0.0,-38.0,0.0,0.0,4.0,78.0
169,0.0,-21.0,0.0,0.0,2.0,36.0
170,1.0,0.0,1.0,0.0,0.0,4.0
171,0.0,23.0,0.0,0.0,0.0,79.0
172,0.0,-22.0,0.0,0.0,4.0,73.0
173,0.0,0.0,0.0,0.0,1.0,6.0
174,0.0,-11.0,0.0,0.0,3.0,73.0
175,0.0,18.0,0.0,0.0,1.0,34.0
176,0.0,15.0,0.0,0.0,2.0,33.0
177,1.0,-17.0,1.0,0.0,1.0,16.0
178,0.0,25.0,0.0,0.0,1.0,31.0
179,0.0,-23.0,0.0,0.0,3.0,55.0
180,0.0,-4.0,0.0,0.0,2.0,71.0
181,0.0,14.0,0.0,0.0,2.0,77.0
182,0.0,6.0,0.0,0.0,2.0,59.0
183,0.0,-11.0,0.0,0.0,3.0,78.0
184,0.0,2.0,0.0,0.0,2.0,78.0
185,0.0,13.0,0.0,0.0,3.0,77.0
186,0.0,34.0,0.0,0.0,1.0,76.0
187,0.0,13.0,0.0,0.0,1.0,15.0
188,0.0,0.0,0.0,0.0,1.0,1.0
189,0.0,-24.0,0.0,0.0,2.0,75.0
190,0.0,24.0,0.0,0.0,0.0,75.0
191,0.0,22.0,0.0,0.0,2.0,73.0
192,0.0,-27.0,0.0,0.0,1.0,5.0
193,0.0,-13.0,0.0,0.0,3.0,76.0
194,0.0,41.0,0.0,0.0,1.0,79.0
195,0.0,-26.0,0.0,0.0,1.0,32.0
196,0.0,16.0,0.0,0.0,2.0,74.0
197,0.0,3.0,0.0,0.0,3.0,58.0
198,0.0,17.0,0.0,0.0,3.0,50.0
199,0.0,17.0,0.0,0.0,0.0,72.0
200,0.0,17.0,0.0,0.0,1.0,77.0
201,0.0,15.0,0.0,0.0,1.0,25.0
202,0.0,26.0,0.0,0.0,3.0,74.0
203,0.0,-25.0,0.0,0.0,1.0,11.0
204,0.0,-27.0,0.0,0.0,4.0,54.0
205,0.0,24.0,0.0,0.0,2.0,77.0
206,0.0,35.0,0.0,0.0,2.0,48.0
207,0.0,24.0,0.0,0.0,1.0,37.0
208,0.0,6.0,0.0,0.0,3.0,58.0
209,-1.0,0.0,0.0,1.0,0.0,7.0
210,0.0,0.0,0.0,0.0,1.0,1.0
211,0.0,-20.0,0.0,0.0,1.0,64.0
212,0.0,-16.0,0.0,0.0,1.0,40.0
213,0.0,8.0,0.0,0.0,3.0,62.0
214,0.0,18.0,0.0,0.0,1.0,7.0
215,0.0,-12.0,0.0,0.0,1.0,76.0
216,0.0,35.0,0.0,0.0,5.0,51.0
217,0.0,-17.0,0.0,0.0,1.0,38.0
218,0.0,-18.0,0.0,0.0,3.0,78.0
219,0.0,20.0,0.0,0.0,2.0,68.0
220,0.0,26.0,0.0,0.0,3.0,71.0
221,0.0,21.0,0.0,0.0,1.0,20.0
222,0.0,29.0,0.0,0.0,1.0,33.0
223,0.0,-15.0,0.0,0.0,4.0,23.0
224,0.0,22.0,0.0,0.0,2.0,73.0
225,0.0,23.0,0.0,0.0,1.0,74.0
226,0.0,0.0,0.0,0.0,1.0,7.0
227,0.0,15.0,0.0,0.0,1.0,25.0
228,0.0,24.0,0.0,0.0,2.0,76.0
229,0.0,24.0,0.0,0.0,2.0,44.0
230,0.0,-25.0,0.0,0.0,2.0,18.0
231,0.0,-26.0,0.0,0.0,2.0,77.0
232,0.0,35.0,0.0,0.0,1.0,47.0
233,0.0,-23.0,0.0,0.0,1.0,13.0
234,0.0,22.0,0.0,0.0,1.0,9.0
235,0.0,35.0,0.0,0.0,0.0,74.0
236,0.0,0.0,0.0,0.0,1.0,8.0
237,0.0,-25.0,0.0,0.0,1.0,14.0
238,0.0,-7.0,0.0,0.0,4.0,80.0
239,0.0,21.0,0.0,0.0,1.0,5.0
240,0.0,-36.0,0.0,0.0,5.0,69.0
241,0.0,-22.0,0.0,0.0,2.0,73.0
242,1.0,61.0,1.0,0.0,7.0,36.0
243,0.0,-17.0,0.0,0.0,1.0,39.0
244,0.0,-3.0,0.0,0.0,2.0,78.0
245,0.0,43.0,0.0,0.0,1.0,13.0
246,0.0,30.0,0.0,0.0,0.0,71.0
247,0.0,38.0,0.0,0.0,4.0,49.0
248,0.0,28.0,0.0,0.0,0.0,78.0
249,1.0,61.0,1.0,0.0,7.0,43.0
250,-1.0,5.0,0.0,1.0,2.0,72.0
251,0.0,0.0,0.0,0.0,1.0,4.0
252,0.0,23.0,0.0,0.0,1.0,19.0
253,1.0,13.0,1.0,0.0,3.0,77.0
254,0.0,20.0,0.0,0.0,1.0,9.0
255,0.0,3.0,0.0,0.0,2.0,39.0
256,0.0,24.0,0.0,0.0,3.0,79.0
257,0.0,-22.0,0.0,0.0,2.0,72.0
258,-1.0,0.0,0.0,1.0,4.0,10.0
259,0.0,-27.0,0.0,0.0,2.0,72.0
260,-1.0,7.0,0.0,1.0,1.0,73.0
261,0.0,5.0,0.0,0.0,3.0,69.0
262,0.0,0.0,0.0,0.0,1.0,2.0
263,0.0,-2.0,0.0,0.0,2.0,71.0
264,0.0,40.0,0.0,0.0,1.0,71.0
265,0.0,21.0,0.0,0.0,1.0,6.0
266,0.0,-20.0,0.0,0.0,2.0,75.0
267,0.0,19.0,0.0,0.0,0.0,71.0
268,0.0,22.0,0.0,0.0,0.0,77.0
269,-1.0,12.0,0.0,1.0,0.0,26.0
270,1.0,-19.0,1.0,0.0,0.0,16.0
271,-1.0,19.0,1.0,2.0,0.0,72.0
272,1.0,-4.0,1.0,0.0,1.0,76.0
273,0.0,15.0,1.0,1.0,0.0,76.0
274,-2.0,18.0,1.0,3.0,1.0,53.0
275,1.0,-15.0,2.0,1.0,0.0,60.0
276,-1.0,8.0,1.0,2.0,0.0,64.0
277,-1.0,15.0,1.0,2.0,2.0,80.0
278,-1.0,12.0,0.0,1.0,0.0,9.0
279,0.0,21.0,0.0,0.0,0.0,74.0
280,1.0,-20.0,1.0,0.0,0.0,16.0
281,1.0,-18.0,1.0,0.0,1.0,12.0
282,0.0,13.0,1.0,1.0,0.0,78.0
283,1.0,-4.0,1.0,0.0,0.0,70.0
284,0.0,19.0,0.0,0.0,0.0,71.0
285,0.0,0.0,0.0,0.0,1.0,4.0
286,-1.0,5.0,0.0,1.0,0.0,75.0
287,-1.0,39.0,0.0,1.0,0.0,8.0
288,0.0,8.0,0.0,0.0,0.0,75.0
289,-1.0,19.0,1.0,2.0,0.0,71.0
290,-1.0,18.0,0.0,1.0,0.0,45.0
291,-1.0,5.0,0.0,1.0,0.0,18.0
292,-2.0,8.0,0.0,2.0,0.0,76.0
293,0.0,-2.0,1.0,1.0,0.0,74.0
294,-2.0,23.0,1.0,3.0,0.0,40.0
295,-1.0,11.0,0.0,1.0,0.0,13.0
296,1.0,-9.0,2.0,1.0,1.0,57.0
297,0.0,1.0,1.0,1.0,0.0,80.0
298,1.0,-9.0,1.0,0.0,0.0,53.0
299,-1.0,21.0,1.0,2.0,0.0,77.0
300,-1.0,17.0,1.0,2.0,0.0,75.0
301,0.0,23.0,0.0,0.0,0.0,72.0
302,1.0,25.0,1.0,0.0,0.0,77.0
303,0.0,8.0,0.0,0.0,1.0,76.0
304,-1.0,8.0,0.0,1.0,0.0,75.0
305,-1.0,9.0,0.0,1.0,3.0,77.0
306,0.0,12.0,1.0,1.0,0.0,60.0
307,1.0,2.0,1.0,0.0,1.0,80.0
308,-1.0,-8.0,1.0,2.0,0.0,71.0
309,-3.0,37.0,0.0,3.0,0.0,29.0
310,1.0,-18.0,1.0,0.0,1.0,28.0
