,rewardSum,profit,guessedRightCnt,guessedWrongCnt,skipCnt,guessCnt
119,0.0,-16.0,0.0,0.0,2.0,72.0
120,0.0,18.0,0.0,0.0,1.0,4.0
121,0.0,35.0,0.0,0.0,4.0,48.0
122,0.0,0.0,0.0,0.0,1.0,7.0
123,0.0,0.0,0.0,0.0,0.0,1.0
124,0.0,0.0,0.0,0.0,1.0,7.0
125,0.0,26.0,0.0,0.0,0.0,72.0
126,0.0,27.0,0.0,0.0,3.0,74.0
127,0.0,-27.0,0.0,0.0,5.0,60.0
128,0.0,-31.0,0.0,0.0,3.0,43.0
129,0.0,-22.0,0.0,0.0,1.0,38.0
130,0.0,20.0,0.0,0.0,0.0,74.0
131,0.0,6.0,0.0,0.0,2.0,57.0
132,0.0,3.0,0.0,0.0,2.0,73.0
133,0.0,0.0,0.0,0.0,1.0,7.0
134,-1.0,0.0,0.0,1.0,0.0,1.0
135,0.0,27.0,0.0,0.0,3.0,78.0
136,-1.0,-7.0,0.0,1.0,2.0,15.0
137,0.0,16.0,0.0,0.0,2.0,14.0
138,0.0,34.0,0.0,0.0,0.0,73.0
139,0.0,0.0,0.0,0.0,1.0,1.0
140,0.0,18.0,0.0,0.0,2.0,78.0
141,0.0,32.0,0.0,0.0,4.0,60.0
142,-1.0,0.0,0.0,1.0,0.0,4.0
143,0.0,-1.0,0.0,0.0,5.0,29.0
144,0.0,-15.0,0.0,0.0,1.0,58.0
145,0.0,22.0,0.0,0.0,2.0,73.0
146,0.0,-21.0,0.0,0.0,3.0,13.0
147,0.0,0.0,0.0,0.0,2.0,10.0
148,-1.0,0.0,0.0,1.0,0.0,1.0
149,0.0,-30.0,0.0,0.0,1.0,12.0
150,0.0,9.0,0.0,0.0,2.0,72.0
151,0.0,-11.0,0.0,0.0,4.0,17.0
152,0.0,25.0,0.0,0.0,2.0,72.0
153,0.0,19.0,0.0,0.0,1.0,12.0
154,0.0,23.0,0.0,0.0,1.0,42.0
155,0.0,-32.0,0.0,0.0,2.0,78.0
156,0.0,-16.0,0.0,0.0,3.0,80.0
157,0.0,0.0,0.0,0.0,1.0,1.0
158,0.0,62.0,0.0,0.0,6.0,29.0
159,0.0,31.0,0.0,0.0,5.0,18.0
160,0.0,19.0,0.0,0.0,2.0,49.0
161,0.0,-19.0,0.0,0.0,1.0,32.0
162,0.0,24.0,0.0,0.0,4.0,78.0
163,0.0,-13.0,0.0,0.0,3.0,80.0
164,0.0,55.0,0.0,0.0,3.0,32.0
165,0.0,37.0,0.0,0.0,4.0,47.0
166,0.0,29.0,0.0,0.0,2.0,75.0
167,0.0,21.0,0.0,0.0,2.0,79.0
168,0.0,24.0,0.0,0.0,1.0,43.0
169,-1.0,0.0,0.0,1.0,0.0,5.0
170,0.0,-29.0,0.0,0.0,2.0,74.0
171,1.0,61.0,1.0,0.0,7.0,37.0
172,0.0,21.0,0.0,0.0,2.0,80.0
173,-1.0,56.0,0.0,1.0,3.0,32.0
174,0.0,14.0,0.0,0.0,3.0,78.0
175,0.0,27.0,0.0,0.0,3.0,76.0
176,0.0,-25.0,0.0,0.0,1.0,17.0
