,sumPercent,rewardSum,profit,guessedRightCnt,guessedWrongCnt,guessUpCnt,guessDownCnt,guessSkipCnt,guessCnt
0,-14.995100000000026,-3.836999999999997,-99.39060000000063,53.0,54.0,72.0,35.0,60.0,167.0
1,3.511899999999997,15.058299999999994,-40.84410000000025,61.0,46.0,70.0,37.0,59.0,167.0
2,8.048599999999986,-2.712000000000002,-11.240900000000693,45.0,54.0,58.0,41.0,67.0,167.0
3,9.289599999999997,3.4284,1.2826999999997497,62.0,50.0,76.0,36.0,54.0,167.0
4,0.2452999999999932,0.9993000000000001,-39.702400000000125,62.0,59.0,81.0,40.0,46.0,167.0
5,0.9551999999999943,15.640799999999992,-48.2562999999991,65.0,43.0,77.0,31.0,57.0,167.0
6,1.4294000000000011,0.4660000000000023,-77.35989999999947,64.0,66.0,76.0,54.0,37.0,167.0
7,1.0792000000000002,3.5374999999999974,-24.914099999999962,59.0,44.0,58.0,45.0,64.0,167.0
8,3.6281000000000034,2.0181999999999967,-37.92950000000019,64.0,56.0,78.0,42.0,47.0,167.0
9,2.5408999999999864,0.6356000000000022,-18.936900000000605,60.0,55.0,71.0,44.0,51.0,167.0
10,-13.306699999999992,-2.733400000000002,-100.02779999999984,58.0,61.0,77.0,42.0,48.0,167.0
11,-8.350500000000025,-3.782400000000001,-38.86510000000089,45.0,48.0,57.0,36.0,73.0,167.0
12,4.194299999999998,3.3702000000000005,-37.327799999999115,60.0,57.0,67.0,50.0,50.0,167.0
13,-13.102800000000002,-3.2111000000000014,-98.10779999999977,56.0,60.0,79.0,37.0,51.0,167.0
14,2.2591999999999963,3.7007,-20.29490000000078,58.0,45.0,61.0,42.0,64.0,167.0
15,-15.655800000000003,-3.8270000000000066,-107.67629999999917,59.0,68.0,82.0,45.0,40.0,167.0
16,0.17489999999999384,1.2366,-33.82370000000083,64.0,57.0,80.0,41.0,46.0,167.0
17,6.277200000000011,-1.8861999999999983,-6.9843999999993684,54.0,59.0,73.0,40.0,54.0,167.0
18,8.349699999999995,-2.2849000000000017,-10.918700000000172,45.0,54.0,59.0,40.0,67.0,167.0
19,6.548000000000005,-1.7317999999999978,-15.135000000000218,54.0,56.0,70.0,40.0,57.0,167.0
20,-1.0574999999999974,2.641300000000003,-43.28139999999985,60.0,59.0,71.0,48.0,48.0,167.0
21,1.9486999999999917,-6.279699999999998,-25.29780000000028,60.0,73.0,91.0,42.0,33.0,167.0
22,1.6918999999999897,-5.423299999999997,-25.670000000000073,61.0,70.0,91.0,40.0,35.0,167.0
23,7.264400000000002,-2.4421999999999984,-12.14140000000043,49.0,56.0,65.0,40.0,61.0,167.0
24,-12.822600000000001,-3.045500000000002,-96.15949999999975,54.0,59.0,77.0,36.0,54.0,167.0
25,9.520999999999997,2.306700000000001,10.83770000000004,58.0,52.0,80.0,30.0,56.0,167.0
26,-6.377600000000005,-2.9228999999999945,-28.132299999999304,42.0,45.0,49.0,38.0,79.0,167.0
27,4.581099999999989,9.4281,-7.1358000000000175,64.0,49.0,78.0,35.0,52.0,167.0
28,0.5015000000000143,4.134599999999995,-32.387399999999616,69.0,58.0,84.0,43.0,40.0,167.0
29,1.1748000000000012,2.2125,-82.0581000000002,63.0,66.0,74.0,55.0,38.0,167.0
30,9.293200000000006,9.521799999999999,2.717500000000655,61.0,48.0,72.0,37.0,57.0,167.0
31,0.6130999999999851,1.5540000000000034,-21.191000000000713,60.0,54.0,69.0,45.0,53.0,167.0
32,4.828499999999995,11.067999999999998,-2.780300000000352,66.0,47.0,77.0,36.0,52.0,167.0
33,1.395399999999995,15.332299999999991,-48.199399999999514,67.0,42.0,77.0,32.0,56.0,167.0
34,0.7384999999999913,15.459199999999992,-50.87700000000041,67.0,43.0,77.0,33.0,55.0,167.0
35,-8.824700000000025,-3.5913999999999997,-40.488100000000486,48.0,48.0,61.0,35.0,70.0,167.0
36,7.020499999999991,10.079599999999997,-40.5607,62.0,49.0,73.0,38.0,55.0,167.0
37,-1.0574999999999974,2.641300000000003,-43.28139999999985,60.0,59.0,71.0,48.0,48.0,167.0
38,1.8845999999999847,-7.733300000000001,-34.85750000000007,57.0,74.0,87.0,44.0,35.0,167.0
39,5.7408,5.2879999999999985,4.360599999999977,65.0,50.0,78.0,37.0,51.0,167.0
40,-0.5533999999999999,2.810100000000002,-43.96349999999984,59.0,59.0,71.0,47.0,49.0,167.0
41,8.815599999999982,11.152999999999995,-40.29349999999977,64.0,48.0,73.0,39.0,54.0,167.0
42,8.969900000000006,10.977699999999997,-3.0797999999995227,59.0,46.0,69.0,36.0,61.0,167.0
43,-0.8183000000000042,4.1237999999999975,-42.44789999999921,61.0,56.0,70.0,47.0,50.0,167.0
44,-3.542700000000025,0.8931000000000013,-24.59519999999975,66.0,55.0,73.0,48.0,45.0,167.0
45,8.666200000000003,-0.7461999999999979,-12.09900000000016,46.0,49.0,59.0,36.0,71.0,167.0
46,4.0197999999999965,0.8598000000000012,-36.51889999999912,63.0,57.0,79.0,41.0,47.0,167.0
47,1.4294000000000011,0.4660000000000023,-77.35989999999947,64.0,66.0,76.0,54.0,37.0,167.0
