,sumPercent,rewardSum,profit,guessedRightCnt,guessedWrongCnt,guessUpCnt,guessDownCnt,guessSkipCnt,guessCnt
0,-3.170299999999999,-2.9753000000000007,-8.261099999999715,6.0,10.0,14.0,2.0,3.0,19.0
1,1.4757000000000007,1.3075000000000003,-5.768200000000434,13.0,10.0,23.0,0.0,5.0,29.0
2,2.9394999999999993,1.2286999999999997,-7.391200000000026,12.0,10.0,19.0,3.0,9.0,31.0
3,-0.6395,-0.14669999999999978,-8.023600000000442,16.0,10.0,23.0,3.0,2.0,29.0
4,2.6687000000000003,0.5406999999999996,-4.2479000000003,13.0,10.0,23.0,0.0,3.0,26.0
5,-0.13679999999999914,-0.7894999999999996,-6.8659999999999854,14.0,10.0,21.0,3.0,2.0,27.0
6,1.108500000000002,-1.1975,-7.113199999999779,12.0,10.0,13.0,9.0,19.0,41.0
7,-5.176799999999999,-5.3399,-12.567999999999302,7.0,10.0,17.0,0.0,1.0,18.0
8,1.9872999999999998,1.6971999999999996,-6.262899999999718,8.0,10.0,17.0,1.0,3.0,21.0
9,0.051499999999999435,-0.7386,-6.731999999999971,9.0,10.0,19.0,0.0,1.0,20.0
10,-6.0078,-5.5922,-10.502000000000407,6.0,10.0,14.0,2.0,2.0,18.0
11,5.852,8.433000000000002,-4.85989999999947,17.0,10.0,26.0,1.0,0.0,28.0
12,2.5376999999999996,1.5413999999999997,-4.584100000000035,14.0,10.0,24.0,0.0,5.0,29.0
13,1.2262000000000013,1.7847999999999997,-12.046899999999368,17.0,10.0,25.0,2.0,23.0,50.0
14,2.2954,-0.7452000000000001,-5.261599999999817,7.0,10.0,15.0,2.0,7.0,24.0
15,4.239299999999997,1.2140000000000002,-6.095699999999852,14.0,10.0,17.0,7.0,24.0,49.0
16,2.5696000000000003,2.2093,-6.463599999999133,10.0,10.0,18.0,2.0,8.0,28.0
17,-4.526100000000002,-2.794100000000001,-6.747499999999491,8.0,10.0,14.0,4.0,24.0,42.0
18,-0.7673000000000005,2.5101000000000004,-10.009099999999307,17.0,10.0,23.0,4.0,21.0,48.0
19,-0.24029999999999951,-0.01999999999999993,-9.502599999999802,9.0,10.0,17.0,2.0,1.0,20.0
20,-1.002699999999999,0.07330000000000014,-9.389199999999619,16.0,10.0,25.0,1.0,16.0,42.0
21,-0.6790000000000005,-0.49289999999999995,-5.405500000000757,7.0,10.0,17.0,0.0,6.0,23.0
22,-0.4531999999999998,-0.013500000000000068,-6.46769999999924,13.0,10.0,22.0,1.0,3.0,27.0
23,1.9153999999999995,0.8682999999999998,-12.061799999999494,14.0,10.0,23.0,1.0,8.0,32.0
24,-0.8800999999999988,0.6741000000000001,-10.030399999999645,17.0,10.0,26.0,1.0,14.0,41.0
25,5.898200000000003,6.4097,-7.44590000000062,20.0,10.0,26.0,4.0,9.0,39.0
26,2.5016999999999996,-2.4119999999999995,-4.877699999999095,11.0,10.0,10.0,11.0,21.0,42.0
27,-0.258,-0.3624000000000002,-5.811499999999796,9.0,10.0,19.0,0.0,8.0,27.0
28,-2.0459,-1.4662,-10.655099999999948,9.0,10.0,18.0,1.0,3.0,22.0
29,-7.418099999999999,-10.130500000000003,-7.51759999999922,8.0,10.0,11.0,7.0,26.0,44.0
30,0.9394999999999993,1.5762000000000003,-5.834000000000742,15.0,10.0,25.0,0.0,3.0,28.0
31,3.420699999999999,1.6618000000000006,-6.175300000000789,12.0,10.0,17.0,5.0,14.0,37.0
32,0.31549999999999834,0.4643999999999997,-8.621699999999691,13.0,10.0,23.0,0.0,10.0,33.0
33,-0.5604,-0.39469999999999994,-7.485099999999875,10.0,10.0,19.0,1.0,5.0,25.0
34,-6.1007,-5.8883,-12.653299999999945,8.0,10.0,18.0,0.0,2.0,20.0
35,0.6052000000000008,-1.6923,-7.988499999999476,11.0,10.0,19.0,2.0,9.0,30.0
36,-3.3796,-3.6273999999999997,-7.718699999999444,5.0,10.0,15.0,0.0,1.0,16.0
37,-2.008800000000001,5.939400000000001,-14.358500000000276,26.0,10.0,31.0,5.0,30.0,66.0
38,1.2270999999999992,-1.2526,-5.236500000000888,13.0,10.0,17.0,6.0,10.0,33.0
39,5.594500000000001,7.170800000000001,-5.179700000000594,14.0,10.0,23.0,1.0,1.0,25.0
40,5.7884,1.4394999999999993,-5.105900000000474,13.0,10.0,21.0,2.0,6.0,29.0
41,-0.2159999999999993,-2.2196000000000007,-6.5547999999998865,11.0,10.0,12.0,9.0,35.0,56.0
42,-1.9142000000000001,3.2359000000000004,-10.590399999999136,22.0,10.0,27.0,5.0,19.0,51.0
43,2.8989999999999982,3.3427000000000002,-8.03440000000046,11.0,10.0,20.0,1.0,3.0,24.0
44,-0.4531999999999998,-0.013500000000000068,-6.46769999999924,13.0,10.0,22.0,1.0,3.0,27.0
45,-0.10189999999999988,-0.26719999999999977,-5.497300000000905,6.0,10.0,16.0,0.0,2.0,18.0
46,0.48150000000000004,-1.0791000000000002,-8.35779999999977,11.0,10.0,19.0,2.0,1.0,22.0
47,5.452999999999999,6.286300000000001,-12.658699999999953,20.0,10.0,28.0,2.0,19.0,49.0
48,-0.5063000000000004,0.5421,-5.024400000000242,12.0,10.0,22.0,0.0,2.0,25.0
49,2.3656000000000006,2.6604000000000005,-3.950800000000527,14.0,10.0,24.0,0.0,3.0,28.0
50,-0.31560000000000077,-1.1544999999999999,-5.524400000000242,13.0,10.0,23.0,0.0,9.0,32.0
51,-0.9211999999999994,-0.6102999999999997,-8.159900000000562,11.0,10.0,21.0,0.0,7.0,28.0
52,-3.4546999999999994,-3.0893999999999995,-7.83350000000064,5.0,10.0,12.0,3.0,1.0,16.0
53,0.1881999999999997,0.26650000000000007,-5.673899999999776,8.0,10.0,18.0,0.0,2.0,20.0
54,-6.593499999999999,-6.2392,-11.036400000000867,5.0,10.0,13.0,2.0,2.0,17.0
55,-4.873999999999999,-4.455400000000001,-6.53269999999975,7.0,10.0,17.0,0.0,7.0,24.0
56,0.04510000000000014,0.17439999999999992,-4.989600000000792,7.0,10.0,17.0,0.0,2.0,19.0
57,1.0793999999999992,0.8239000000000002,-5.72229999999945,14.0,10.0,24.0,0.0,3.0,27.0
58,-3.3404000000000007,-2.3333,-5.6939000000002125,7.0,10.0,17.0,0.0,2.0,19.0
59,4.003799999999999,2.224100000000001,-6.830299999999625,14.0,10.0,18.0,6.0,21.0,46.0
60,3.285499999999999,0.4009,-5.453400000000329,10.0,10.0,18.0,2.0,7.0,27.0
61,0.8455000000000008,-1.8507999999999998,-6.202900000000227,7.0,10.0,13.0,4.0,15.0,32.0
62,1.7953999999999999,-0.9952000000000001,-4.748199999999997,5.0,10.0,13.0,2.0,7.0,22.0
63,-0.8884999999999987,0.12929999999999986,-7.501599999999598,15.0,10.0,21.0,4.0,4.0,30.0
64,2.0272999999999977,2.8355999999999995,-9.168700000000172,15.0,10.0,25.0,0.0,10.0,35.0
65,3.1335,3.3431,-6.105799999999363,16.0,10.0,25.0,1.0,5.0,31.0
66,-2.1285,-1.2696,-9.900499999999738,11.0,10.0,19.0,2.0,22.0,43.0
67,3.0283,2.7742000000000004,-7.114600000000792,13.0,10.0,21.0,2.0,7.0,30.0
68,-1.1535999999999995,-0.9833999999999999,-7.54700000000048,8.0,10.0,16.0,2.0,5.0,23.0
69,0.9082000000000026,-3.7259,-5.689099999999598,7.0,10.0,10.0,7.0,32.0,49.0
70,3.1727000000000007,2.2870999999999997,-6.115499999999884,15.0,10.0,25.0,0.0,5.0,31.0
71,-1.2510000000000003,-0.6558000000000002,-9.27349999999933,10.0,10.0,18.0,2.0,16.0,36.0
72,-0.17340000000000044,-0.5666,-5.967800000000352,9.0,10.0,19.0,0.0,4.0,23.0
73,2.1020000000000003,1.4820000000000004,-2.988600000000588,13.0,10.0,23.0,0.0,9.0,32.0
74,4.163800000000002,4.6065,-8.09939999999915,18.0,10.0,23.0,5.0,7.0,35.0
75,-0.04450000000000198,-1.7972000000000006,-6.824199999999109,12.0,10.0,22.0,0.0,7.0,29.0
76,-3.7640000000000007,-2.8675000000000006,-7.147499999999127,5.0,10.0,14.0,1.0,9.0,24.0
77,2.6623999999999994,1.9469000000000007,-5.913399999999456,12.0,10.0,15.0,7.0,17.0,40.0
78,4.855600000000001,4.6923,-8.069900000000416,18.0,10.0,27.0,1.0,4.0,32.0
79,-2.156100000000002,5.732700000000001,-12.907100000000355,24.0,10.0,29.0,5.0,30.0,64.0
80,-0.28489999999999993,-1.2644000000000002,-8.637000000000626,7.0,10.0,16.0,1.0,5.0,22.0
81,2.7832,2.3570000000000007,-7.262399999999616,13.0,10.0,17.0,6.0,13.0,37.0
82,0.5720000000000005,-1.9732999999999998,-6.202900000000227,7.0,10.0,13.0,4.0,16.0,33.0
83,0.010500000000000842,0.11589999999999998,-7.054299999999785,9.0,10.0,15.0,4.0,1.0,20.0
84,2.9050000000000007,2.5806000000000004,-6.888600000000224,12.0,10.0,20.0,2.0,7.0,29.0
85,-1.3405000000000022,8.374000000000004,-12.768599999999424,28.0,10.0,32.0,6.0,25.0,63.0
86,0.9920999999999989,-1.9471000000000003,-4.517099999999118,10.0,10.0,13.0,7.0,8.0,28.0
87,0.2816000000000001,0.1472000000000001,-4.495100000000093,6.0,10.0,16.0,0.0,1.0,17.0
88,-0.8339999999999996,-0.5705999999999999,-8.551499999999578,12.0,10.0,22.0,0.0,7.0,29.0
89,-0.7879999999999994,-0.5796000000000001,-8.0,12.0,10.0,22.0,0.0,8.0,30.0
90,-4.029,-3.6241000000000003,-6.760700000000725,3.0,10.0,12.0,1.0,2.0,15.0
91,-0.7386000000000001,-0.8996999999999998,-6.335900000000038,8.0,10.0,18.0,0.0,1.0,19.0
92,1.2752999999999997,0.02919999999999999,-8.915000000000873,9.0,10.0,18.0,1.0,1.0,20.0
93,1.3960999999999997,1.3489000000000002,-5.800199999999677,12.0,10.0,22.0,0.0,5.0,27.0
