,rewardSum,profit,guessedRightCnt,guessedWrongCnt,guessUpCnt,guessDownCnt,guessSkipCnt,guessCnt
0,-1.06,0.0,5.0,10.0,9.0,7.0,18.0,33.0
1,2.3200000000000003,0.0,9.0,10.0,7.0,12.0,18.0,37.0
2,0.16999999999999998,0.0,9.0,10.0,5.0,15.0,28.0,47.0
3,-1.32,0.0,9.0,10.0,3.0,17.0,28.0,48.0
4,0.5799999999999998,0.0,11.0,10.0,5.0,16.0,26.0,47.0
5,-1.2499999999999993,0.0,11.0,10.0,1.0,20.0,11.0,32.0
6,4.829999999999999,0.0,11.0,10.0,8.0,13.0,15.0,36.0
7,-1.9200000000000002,0.0,4.0,10.0,7.0,7.0,6.0,20.0
8,0.8899999999999992,0.0,11.0,10.0,9.0,13.0,14.0,35.0
9,-1.32,0.0,9.0,10.0,3.0,17.0,27.0,47.0
10,-0.4899999999999999,0.0,8.0,10.0,9.0,9.0,27.0,45.0
11,-1.78,0.0,5.0,10.0,8.0,8.0,15.0,30.0
12,-0.9099999999999999,0.0,10.0,10.0,8.0,12.0,7.0,27.0
13,-1.96,0.0,7.0,10.0,3.0,14.0,13.0,30.0
14,0.17999999999999988,0.0,6.0,10.0,7.0,9.0,11.0,27.0
15,-4.3500000000000005,0.0,8.0,10.0,4.0,14.0,20.0,38.0
16,0.39999999999999974,0.0,5.0,10.0,10.0,5.0,10.0,25.0
17,1.3000000000000003,0.0,15.0,10.0,14.0,12.0,27.0,52.0
18,0.97,0.0,13.0,10.0,15.0,8.0,10.0,33.0
19,1.9100000000000001,0.0,14.0,10.0,10.0,14.0,17.0,41.0
20,1.7299999999999998,0.0,17.0,10.0,17.0,11.0,14.0,41.0
21,-1.5099999999999996,0.0,13.0,10.0,2.0,21.0,9.0,32.0
22,1.9100000000000001,0.0,14.0,10.0,10.0,14.0,15.0,39.0
23,1.38,0.0,14.0,10.0,10.0,15.0,24.0,48.0
24,1.2700000000000005,0.0,11.0,10.0,5.0,17.0,31.0,52.0
25,2.0700000000000003,0.0,16.0,10.0,7.0,20.0,33.0,59.0
26,1.39,0.0,14.0,10.0,10.0,15.0,17.0,41.0
27,1.28,0.0,14.0,10.0,10.0,15.0,29.0,53.0
28,-0.30000000000000004,0.0,14.0,10.0,4.0,21.0,34.0,58.0
29,1.8399999999999994,0.0,10.0,10.0,9.0,12.0,27.0,47.0
30,3.1100000000000003,0.0,20.0,10.0,17.0,13.0,17.0,47.0
31,1.3399999999999999,0.0,8.0,10.0,6.0,12.0,18.0,36.0
32,1.13,0.0,11.0,10.0,7.0,15.0,28.0,49.0
33,-1.13,0.0,10.0,10.0,9.0,11.0,17.0,37.0
34,-1.9500000000000002,0.0,3.0,10.0,9.0,4.0,14.0,27.0
35,1.2700000000000005,0.0,15.0,10.0,14.0,12.0,39.0,64.0
36,1.5399999999999991,0.0,11.0,10.0,3.0,20.0,25.0,47.0
37,-4.75,0.0,6.0,10.0,5.0,11.0,21.0,37.0
38,-0.6900000000000002,0.0,7.0,10.0,8.0,10.0,11.0,28.0
39,-1.2499999999999993,0.0,11.0,10.0,1.0,20.0,12.0,33.0
40,-1.4499999999999997,0.0,6.0,10.0,6.0,10.0,28.0,44.0
41,-0.48000000000000015,0.0,5.0,10.0,5.0,10.0,16.0,31.0
42,-1.6400000000000001,0.0,6.0,10.0,5.0,11.0,8.0,24.0
43,2.5500000000000003,0.0,17.0,10.0,15.0,12.0,22.0,49.0
44,2.77,0.0,11.0,10.0,8.0,13.0,17.0,38.0
45,1.43,0.0,16.0,10.0,15.0,12.0,25.0,51.0
46,0.93,0.0,11.0,10.0,12.0,9.0,19.0,40.0
47,-1.4099999999999997,0.0,7.0,10.0,10.0,8.0,16.0,33.0
48,2.04,0.0,15.0,10.0,10.0,16.0,21.0,46.0
49,-1.8000000000000003,0.0,4.0,10.0,10.0,4.0,11.0,25.0
50,0.78,0.0,12.0,10.0,10.0,13.0,23.0,45.0
51,1.7799999999999991,0.0,9.0,10.0,3.0,17.0,24.0,44.0
52,1.39,0.0,14.0,10.0,10.0,15.0,16.0,40.0
53,-1.84,0.0,3.0,10.0,8.0,5.0,12.0,25.0
54,2.35,0.0,16.0,10.0,9.0,18.0,32.0,58.0
55,2.0700000000000003,0.0,16.0,10.0,7.0,20.0,30.0,56.0
56,1.65,0.0,16.0,10.0,15.0,12.0,35.0,61.0
57,-3.37,0.0,9.0,10.0,4.0,15.0,19.0,38.0
58,1.3799999999999997,0.0,6.0,10.0,9.0,7.0,13.0,29.0
59,-1.7999999999999998,0.0,5.0,10.0,7.0,8.0,25.0,40.0
60,-1.32,0.0,9.0,10.0,3.0,17.0,36.0,56.0
61,-2.07,0.0,6.0,10.0,4.0,12.0,4.0,20.0
62,3.7799999999999994,0.0,10.0,10.0,7.0,13.0,27.0,47.0
63,-1.7199999999999998,0.0,6.0,10.0,3.0,14.0,32.0,49.0
64,-0.3999999999999999,0.0,6.0,10.0,5.0,12.0,19.0,36.0
65,1.54,0.0,16.0,10.0,15.0,12.0,38.0,64.0
66,1.29,0.0,15.0,10.0,16.0,9.0,17.0,42.0
67,0.97,0.0,13.0,10.0,15.0,8.0,11.0,34.0
68,-0.02000000000000013,0.0,7.0,10.0,4.0,14.0,16.0,34.0
69,1.5399999999999991,0.0,11.0,10.0,3.0,20.0,22.0,44.0
70,1.39,0.0,14.0,10.0,10.0,15.0,19.0,43.0
71,0.6999999999999996,0.0,10.0,10.0,11.0,9.0,22.0,42.0
72,1.9500000000000002,0.0,17.0,10.0,16.0,11.0,9.0,36.0
73,0.43000000000000027,0.0,11.0,10.0,8.0,14.0,21.0,42.0
74,1.6400000000000001,0.0,15.0,10.0,10.0,16.0,23.0,48.0
75,2.9699999999999998,0.0,12.0,10.0,6.0,17.0,26.0,48.0
76,-0.94,0.0,10.0,10.0,9.0,11.0,18.0,38.0
77,2.4200000000000004,0.0,17.0,10.0,15.0,12.0,24.0,51.0
78,-0.15999999999999992,0.0,14.0,10.0,4.0,21.0,24.0,48.0
79,0.43000000000000027,0.0,11.0,10.0,8.0,14.0,22.0,43.0
80,-1.44,0.0,6.0,10.0,3.0,14.0,29.0,46.0
81,1.0599999999999998,0.0,7.0,10.0,8.0,9.0,15.0,32.0
82,2.05,0.0,13.0,10.0,7.0,17.0,28.0,51.0
83,-0.7599999999999991,0.0,13.0,10.0,2.0,21.0,13.0,36.0
84,2.2900000000000005,0.0,13.0,10.0,13.0,10.0,16.0,39.0
85,-1.08,0.0,11.0,10.0,10.0,11.0,17.0,38.0
86,4.639999999999999,0.0,13.0,10.0,9.0,14.0,33.0,56.0
87,-2.0500000000000003,0.0,7.0,10.0,3.0,15.0,27.0,45.0
88,-1.7699999999999998,0.0,6.0,10.0,5.0,11.0,12.0,28.0
