,sumPercent,rewardSum,profit,guessedRightCnt,guessedWrongCnt,guessUpCnt,guessDownCnt,guessSkipCnt,guessCnt
0,7.1436000000000135,-11.5124,29.94750000000022,7.0,10.0,8.0,9.0,9.0,27.0
1,6.1418000000000035,12.013600000000002,-9.332800000000134,23.0,10.0,18.0,15.0,16.0,49.0
2,5.520599999999996,1.4732999999999996,-3.603499999999258,8.0,10.0,12.0,6.0,11.0,29.0
3,-2.3156,-3.9098,-4.149400000000242,4.0,10.0,8.0,6.0,5.0,19.0
4,2.6689000000000003,-2.7365000000000004,0.06060000000070431,8.0,10.0,8.0,10.0,11.0,29.0
5,3.493000000000002,-0.35029999999999933,2.556300000000192,10.0,10.0,13.0,7.0,18.0,38.0
6,-3.0996000000000024,13.748699999999998,-4.878899999999703,11.0,10.0,9.0,12.0,13.0,34.0
7,3.8389999999999995,-4.0026,-1.4830000000001746,4.0,10.0,4.0,10.0,6.0,20.0
8,5.5158000000000005,0.8646000000000008,-1.8387999999995372,14.0,10.0,16.0,8.0,9.0,33.0
9,2.5659,-1.3355999999999997,-6.014100000000326,9.0,10.0,6.0,13.0,9.0,28.0
10,-2.5763,-0.7061999999999992,-18.413500000000568,8.0,10.0,10.0,8.0,14.0,32.0
11,1.3578000000000001,4.8576,-10.25760000000082,18.0,10.0,18.0,10.0,18.0,46.0
12,-3.1392999999999986,5.4116,-11.64049999999952,16.0,10.0,11.0,15.0,19.0,45.0
13,-0.6901999999999999,-1.4904999999999995,-1.2322000000003754,6.0,10.0,6.0,10.0,5.0,21.0
14,8.179100000000004,-4.1075,-2.0997000000006665,7.0,10.0,6.0,11.0,13.0,30.0
15,-1.1412999999999975,0.6297000000000006,-3.334100000000035,5.0,10.0,8.0,7.0,5.0,20.0
16,-0.3979999999999997,-1.8105999999999995,0.7330999999994674,8.0,10.0,7.0,11.0,7.0,25.0
17,-8.9821,1.5906999999999991,-14.793100000000777,11.0,10.0,9.0,12.0,14.0,35.0
18,23.3851,10.2056,45.912500000000364,14.0,10.0,16.0,8.0,19.0,43.0
19,-7.336599999999999,-4.4729,-17.62199999999939,4.0,10.0,9.0,5.0,3.0,17.0
20,-0.37230000000000985,-3.673900000000002,-10.97609999999986,10.0,10.0,9.0,11.0,15.0,35.0
21,-4.293099999999999,3.9337999999999975,-8.9312000000009,12.0,10.0,10.0,12.0,16.0,38.0
22,3.324300000000001,-1.6680000000000001,-9.193600000000515,3.0,10.0,9.0,4.0,10.0,23.0
23,-3.6022000000000007,-6.980599999999999,-8.616700000000492,5.0,10.0,7.0,8.0,4.0,19.0
24,9.1283,-1.7565999999999986,3.795799999999872,5.0,10.0,8.0,7.0,7.0,22.0
25,7.772899999999996,7.984699999999999,-0.18729999999959546,17.0,10.0,15.0,12.0,17.0,44.0
26,-12.031999999999996,1.9485999999999994,1.0359000000007654,8.0,10.0,8.0,10.0,8.0,26.0
27,-9.467000000000002,-2.653599999999999,-4.3047999999998865,9.0,10.0,8.0,11.0,6.0,25.0
28,-2.0420999999999996,-2.4417,-3.703700000000026,2.0,10.0,5.0,7.0,3.0,16.0
29,9.374600000000004,1.7533,26.926400000000285,11.0,10.0,11.0,10.0,15.0,36.0
30,-7.159000000000002,-0.7500999999999999,-10.67280000000028,16.0,10.0,13.0,13.0,14.0,40.0
31,5.148000000000001,-1.5326,-3.3426999999992404,10.0,10.0,16.0,4.0,10.0,30.0
32,-0.3633000000000024,-2.5933999999999995,-0.6394999999993161,4.0,10.0,10.0,4.0,6.0,20.0
33,0.026699999999999946,-4.694599999999999,-9.234599999999773,8.0,10.0,9.0,9.0,10.0,28.0
34,-3.211599999999999,7.099499999999999,-11.14680000000044,13.0,10.0,15.0,8.0,3.0,26.0
35,5.670600000000002,-3.5038,1.559900000000198,9.0,10.0,10.0,9.0,8.0,27.0
36,-1.899600000000003,1.9754999999999994,-2.3690000000005966,12.0,10.0,7.0,15.0,13.0,35.0
37,9.1555,-1.5424999999999995,1.9213999999992666,9.0,10.0,7.0,12.0,8.0,27.0
38,-1.4723000000000006,-6.788700000000001,-8.436799999999494,4.0,10.0,8.0,6.0,9.0,23.0
39,3.3314999999999975,-1.582999999999999,2.6424000000006345,6.0,10.0,9.0,7.0,11.0,27.0
40,-1.1077999999999992,3.6228,-8.888899999999921,12.0,10.0,9.0,13.0,10.0,33.0
41,11.941100000000002,4.811699999999998,-8.315500000000611,16.0,10.0,9.0,17.0,11.0,37.0
42,11.037000000000006,-0.5398999999999997,4.019500000000335,9.0,10.0,11.0,8.0,7.0,26.0
43,3.2907999999999986,-2.1967000000000003,-1.9419999999990978,6.0,10.0,6.0,10.0,7.0,23.0
44,1.1767000000000012,-2.4623999999999993,-4.438299999999799,8.0,10.0,8.0,10.0,13.0,31.0
45,-1.8767,-1.6436999999999995,-8.055599999999686,6.0,10.0,8.0,8.0,9.0,25.0
46,14.357600000000001,-0.4424999999999996,15.088999999999942,16.0,10.0,13.0,13.0,20.0,46.0
