,rewardSum,profit,guessedRightCnt,guessedWrongCnt,skipCnt,guessCnt
0,0.0,0.0,0.0,0.0,1.0,1.0
1,-1.0,0.0,0.0,1.0,0.0,1.0
2,0.0,0.0,0.0,0.0,2.0,6.0
3,-2.0,0.0,0.0,2.0,2.0,10.0
4,0.0,0.0,0.0,0.0,1.0,1.0
5,-1.0,0.0,0.0,1.0,0.0,2.0
6,0.0,42.0,1.0,1.0,0.0,5.0
7,1.0,42.0,1.0,0.0,0.0,5.0
8,-1.0,0.0,0.0,1.0,0.0,5.0
9,2.0,39.0,2.0,0.0,4.0,58.0
10,0.0,0.0,0.0,0.0,1.0,1.0
11,0.0,0.0,0.0,0.0,1.0,3.0
12,1.0,-41.0,1.0,0.0,2.0,4.0
13,2.0,-22.0,3.0,1.0,1.0,9.0
14,-3.0,-2.0,0.0,3.0,0.0,19.0
15,0.0,-28.0,1.0,1.0,1.0,6.0
16,0.0,4.0,2.0,2.0,2.0,71.0
17,-2.0,-16.0,0.0,2.0,3.0,65.0
18,-1.0,0.0,0.0,1.0,0.0,3.0
19,1.0,21.0,1.0,0.0,1.0,55.0
20,-1.0,-10.0,0.0,1.0,0.0,9.0
21,1.0,-16.0,2.0,1.0,2.0,35.0
22,0.0,-22.0,0.0,0.0,1.0,12.0
23,-1.0,24.0,0.0,1.0,0.0,34.0
24,2.0,0.0,2.0,0.0,0.0,4.0
25,-1.0,96.0,0.0,1.0,0.0,2.0
26,1.0,-19.0,1.0,0.0,0.0,8.0
27,-1.0,0.0,0.0,1.0,2.0,48.0
28,0.0,15.0,0.0,0.0,2.0,38.0
29,0.0,-30.0,0.0,0.0,1.0,7.0
30,-1.0,34.0,1.0,2.0,0.0,49.0
31,1.0,63.0,3.0,2.0,4.0,71.0
32,1.0,-24.0,1.0,0.0,1.0,60.0
33,0.0,0.0,0.0,0.0,1.0,1.0
34,0.0,3.0,1.0,1.0,4.0,8.0
35,-1.0,121.0,0.0,1.0,1.0,38.0
36,-1.0,-22.0,0.0,1.0,2.0,68.0
37,-1.0,0.0,0.0,1.0,0.0,3.0
38,1.0,14.0,1.0,0.0,2.0,8.0
39,0.0,0.0,0.0,0.0,1.0,1.0
40,1.0,-24.0,1.0,0.0,1.0,5.0
41,1.0,22.0,1.0,0.0,1.0,4.0
42,0.0,0.0,0.0,0.0,1.0,1.0
43,1.0,8.0,1.0,0.0,1.0,22.0
44,1.0,-27.0,1.0,0.0,1.0,7.0
45,0.0,-2.0,1.0,1.0,2.0,8.0
46,1.0,0.0,1.0,0.0,0.0,1.0
47,0.0,37.0,1.0,1.0,0.0,26.0
48,2.0,23.0,2.0,0.0,0.0,16.0
49,1.0,7.0,2.0,1.0,2.0,7.0
50,0.0,-26.0,1.0,1.0,2.0,71.0
51,3.0,11.0,3.0,0.0,5.0,12.0
52,-1.0,-9.0,0.0,1.0,1.0,12.0
53,-1.0,35.0,0.0,1.0,1.0,2.0
54,-1.0,8.0,4.0,5.0,3.0,55.0
55,1.0,-22.0,2.0,1.0,1.0,9.0
56,1.0,8.0,1.0,0.0,0.0,14.0
57,1.0,-14.0,1.0,0.0,2.0,20.0
58,1.0,19.0,1.0,0.0,0.0,3.0
59,-1.0,-29.0,0.0,1.0,0.0,6.0
60,-1.0,40.0,0.0,1.0,2.0,4.0
61,2.0,5.0,2.0,0.0,4.0,71.0
62,-2.0,56.0,1.0,3.0,1.0,71.0
63,0.0,0.0,1.0,1.0,2.0,8.0
64,0.0,-17.0,0.0,0.0,2.0,9.0
