Date,Close
2018-10-07 06-AM,223.87
2018-10-07 05-AM,224.2
2018-10-07 04-AM,224.48
2018-10-07 03-AM,224.61
2018-10-07 02-AM,224.01
2018-10-07 01-AM,223.79
2018-10-07 12-AM,223.85
2018-10-06 11-PM,223.68
2018-10-06 10-PM,224.0
2018-10-06 09-PM,223.65
2018-10-06 08-PM,222.94
2018-10-06 07-PM,223.17
2018-10-06 06-PM,223.72
2018-10-06 05-PM,223.3
2018-10-06 04-PM,223.9
2018-10-06 03-PM,223.35
2018-10-06 02-PM,223.36
2018-10-06 01-PM,224.41
2018-10-06 12-PM,224.45
2018-10-06 11-AM,226.03
2018-10-06 10-AM,225.51
2018-10-06 09-AM,225.59
2018-10-06 08-AM,226.25
2018-10-06 07-AM,226.26
2018-10-06 06-AM,225.99
2018-10-06 05-AM,225.99
2018-10-06 04-AM,225.33
2018-10-06 03-AM,225.21
2018-10-06 02-AM,225.3
2018-10-06 01-AM,226.05
2018-10-06 12-AM,226.89
2018-10-05 11-PM,226.31
2018-10-05 10-PM,223.11
2018-10-05 09-PM,221.69
2018-10-05 08-PM,222.25
2018-10-05 07-PM,221.7
2018-10-05 06-PM,221.5
2018-10-05 05-PM,222.27
2018-10-05 04-PM,222.65
2018-10-05 03-PM,222.38
2018-10-05 02-PM,222.48
2018-10-05 01-PM,222.09
2018-10-05 12-PM,221.57
2018-10-05 11-AM,220.16
2018-10-05 10-AM,219.52
2018-10-05 09-AM,219.35
2018-10-05 08-AM,219.33
2018-10-05 07-AM,220.34
2018-10-05 06-AM,219.93
2018-10-05 05-AM,220.05
2018-10-05 04-AM,219.68
2018-10-05 03-AM,220.09
2018-10-05 02-AM,221.61
2018-10-05 01-AM,222.45
2018-10-05 12-AM,221.0
2018-10-04 11-PM,221.33
2018-10-04 10-PM,220.51
2018-10-04 09-PM,221.66
2018-10-04 08-PM,222.78
2018-10-04 07-PM,222.99
2018-10-04 06-PM,222.05
2018-10-04 05-PM,222.29
2018-10-04 04-PM,222.21
2018-10-04 03-PM,222.28
2018-10-04 02-PM,223.02
2018-10-04 01-PM,222.12
2018-10-04 12-PM,221.53
2018-10-04 11-AM,222.21
2018-10-04 10-AM,222.71
2018-10-04 09-AM,222.99
2018-10-04 08-AM,221.92
2018-10-04 07-AM,222.23
2018-10-04 06-AM,223.33
2018-10-04 05-AM,224.18
2018-10-04 04-AM,223.66
2018-10-04 03-AM,224.03
2018-10-04 02-AM,222.94
2018-10-04 01-AM,219.07
